,Name,ID,Genres,Followers,Popularity
0,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,"['electro', 'filter house', 'rock']",10263402,82
1,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",10594158,78
2,Harry Styles,6KImCVD70vtIoJWnq6nGn3,['pop'],33120435,85
3,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'pop', 'viral pop']",43686496,85
4,Lizzo,56oDRnqbIiwx4mymNEv7dS,"['escape room', 'minnesota hip hop', 'pop', 'trap queen']",5713738,70
5,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,"['pop', 'uk pop']",23415517,78
6,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,['pop'],10000631,77
7,Clean Bandit,6MDME20pz9RveH9rEXvrOM,"['pop', 'uk dance', 'uk funky']",5618814,77
8,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",11410297,83
9,Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,['singer-songwriter pop'],278391,70
10,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['pop', 'post-teen pop']",51185037,83
11,Bipolar Sunshine,0CjWKoS55T7DOt0HJuwF1H,['gauze pop'],86145,61
12,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']",54734700,92
13,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",78768494,91
14,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,"['dance rock', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop rock']",2145391,71
15,Kygo,23fqKkggKUBHNkbKtXEls4,"['edm', 'pop', 'pop dance', 'tropical house']",8490791,82
16,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,"['metropopolis', 'modern rock', 'pop']",5585188,76
17,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,['pop soul'],1142729,77
18,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",94569759,96
19,The Cure,7bu3H8JO7d0UbMoVzbo70s,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",5912038,80
20,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,['pop'],20624307,83
21,BTS,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']",76799489,87
22,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,['pop'],25056264,84
23,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,"['boy band', 'dance pop', 'pop']",5993383,78
24,Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'edm', 'pop', 'progressive electro house']",33894470,85
25,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']",45017193,88
26,Grey,4lDBihdpMlOalxy1jkUbPl,['pop edm'],90581,66
27,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['piano rock', 'pop']",17627228,84
28,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,['indie poptimism'],683953,65
29,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26429487,90
30,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,"['houston rap', 'pop', 'rap', 'trap queen']",9935403,83
31,Avicii,1vCWHaC5f2uS3yhpwWbIA6,"['dance pop', 'edm', 'pop', 'pop dance']",23114245,81
32,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",4332092,77
33,Halsey,26VFTg2z8YR0cCuwLzESi2,"['electropop', 'etherpop', 'indie poptimism', 'pop']",21766868,83
34,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",15098560,77
35,Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],43205328,87
36,Sia,5WUlDfRSoLAfcVSX1WnrxN,['pop'],28921359,86
37,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['pop', 'viral pop']",23525014,81
38,Flo Rida,0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",8710498,81
39,Julian Casablancas,1rAv1GhTQ2rmG94p9lU3rB,['indie rock'],573931,64
40,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"['dance pop', 'pop']",34072397,83
41,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,"['classic texas country', 'contemporary country']",834390,71
42,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,['pop'],12126352,79
43,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,['pop'],12415964,78
44,DJ Snake,540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",8920191,79
45,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,['australian hip hop'],5841821,85
46,Tainy,0GM7qgcRCORpGnfcN2tCiB,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",2473636,79
47,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop'],101098564,93
48,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']",62300171,96
49,Lauv,5JZ7CnR6gTvEMKX4g70Amv,['pop'],6376088,77
50,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']",117243313,89
51,Zedd,2qxJFvFYMEDqd7ui6kSAcq,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",5986151,76
52,Sheppard,6VxCmtR7S3yz4vnzsJqhSV,"['australian indie', 'australian pop', 'folk-pop']",313219,61
53,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['art pop', 'dance pop', 'pop']",32798999,92
54,Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],126148293,100
