Artist 1,Artist 2,Popular Collab,URL,Popularity,Artist From
Taylor Swift,Shawn Mendes,Lover (Remix) [feat. Shawn Mendes],https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,65.0,Artists in Different Playlists
Taylor Swift,Phoebe Bridgers,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B,71.0,Artists in Different Playlists
Taylor Swift,Clean Bandit,You Need To Calm Down - Clean Bandit Remix,https://open.spotify.com/track/7Bjf96uNizpvXLvNyOJpst,44.0,Artists in Different Playlists
Taylor Swift,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),https://open.spotify.com/track/55n9yjI6qqXh5F2mYvUc2y,79.0,Artists in Different Playlists
Taylor Swift,Gary Lightbody,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),https://open.spotify.com/track/0y6kdSRCVQhSsHSpWvTUm7,67.0,Artists in Different Playlists
Taylor Swift,Panic! At The Disco,ME! (feat. Brendon Urie of Panic! At The Disco),https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,72.0,Both Artists in Same Playlists
Daft Punk,The Weeknd,Starboy,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,87.0,Artists from Same Playlist
Daft Punk,Julian Casablancas,Instant Crush (feat. Julian Casablancas),https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6,74.0,Artists from Same Playlist
Daft Punk,Avicii,Derezzed - Remixed by Avicii,https://open.spotify.com/track/1rn6JIHBuBZiwvA57jeoOB,35.0,Artists from Same Playlist
Daft Punk,Kygo,Starboy (feat. Daft Punk) - Kygo Remix,https://open.spotify.com/track/3DCc4HPrVukBeaDGe3Cosk,48.0,Artists from Same Playlist
Zara Larsson,David Guetta,On My Love,https://open.spotify.com/track/0dxp7DyPJEo6JhtnjUtBnN,65.0,Artists from Same Playlist
Zara Larsson,BTS,A Brand New Day (BTS World Original Soundtrack) (Pt. 2),https://open.spotify.com/track/3amNzwQ9muL0ZwDCbe9gWy,54.0,Artists from Same Playlist
Zara Larsson,Clean Bandit,Symphony (feat. Zara Larsson),https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal,77.0,Artists from Same Playlist
Zara Larsson,Kygo,Like It Is,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN,54.0,Artists from Same Playlist
Shawn Mendes,Justin Bieber,Monster (Shawn Mendes & Justin Bieber),https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1,66.0,Artists from Same Playlist
Shawn Mendes,Camila Cabello,Señorita,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,78.0,Artists from Same Playlist
Shawn Mendes,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,65.0,Artists in Different Playlists
Shawn Mendes,Zedd,Lost In Japan - Remix,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv,55.0,Artists from Same Playlist
Shawn Mendes,Tainy,Summer of Love (Shawn Mendes & Tainy),https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6,67.0,Artists from Same Playlist
Lizzo,Bastille,"Torn Apart, Pt II (Bastille Vs. GRADES Vs. Lizzo)",https://open.spotify.com/track/6Gy30w4ebJg02BjLdULdNm,27.0,Artists from Same Playlist
Lizzo,Clean Bandit,New Eyes (feat. Lizzo),https://open.spotify.com/track/6xyJHp3nAJGOc2Xy7ACsg1,21.0,Artists from Same Playlist
Lizzo,Ariana Grande,Good as Hell (feat. Ariana Grande),https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq,56.0,Artists from Same Playlist
ZAYN,Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),https://open.spotify.com/track/55n9yjI6qqXh5F2mYvUc2y,79.0,Artists in Different Playlists
ZAYN,Sia,Dusk Till Dawn (feat. Sia) - Radio Edit,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP,80.0,Artists from Same Playlist
Niall Horan,Maren Morris,Seeing Blind,https://open.spotify.com/track/65wnZsZLKJimfK1cTFOfa1,59.0,Artists from Same Playlist
Niall Horan,Anne-Marie,Our Song,https://open.spotify.com/track/3fGW43fnu3OHEw6ohTC2Bw,61.0,Artists from Same Playlist
Clean Bandit,David Guetta,Cry Baby,https://open.spotify.com/track/7oDSG2Q9RBU0QjgtfYQOdD,73.0,Artists from Same Playlist
Clean Bandit,The Killers,Caution - Clean Bandit Remix,https://open.spotify.com/track/73A4FC5eIihO0swjveMDTl,28.0,Artists in Different Playlists
Clean Bandit,Taylor Swift,You Need To Calm Down - Clean Bandit Remix,https://open.spotify.com/track/7Bjf96uNizpvXLvNyOJpst,44.0,Artists in Different Playlists
