Track_Name,Track_ID,URL,Artist(s),Album,Popularity,Duration,Tempo,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Time_Signature,Common Artist
I Ain't Worried,spotify:track:0oF9jpn0n8afMpbHKgRd6J,https://open.spotify.com/track/0oF9jpn0n8afMpbHKgRd6J,['OneRepublic'],Artificial Paradise (Deluxe),78,2.47,139.976,0,1,0.713,0.792,-5.957,0.0467,0.103,0.00052,0.0698,0.81,4,OneRepublic
Run,spotify:track:6KL88T4Ma4ABXqzgUoEwkd,https://open.spotify.com/track/6KL88T4Ma4ABXqzgUoEwkd,['OneRepublic'],Human (Deluxe),73,2.8,116.988,11,0,0.682,0.72,-8.176,0.0382,0.321,0.0,0.205,0.649,4,OneRepublic
I Lived,spotify:track:3IQF4xCQUPicbA4hWfTxPo,https://open.spotify.com/track/3IQF4xCQUPicbA4hWfTxPo,['OneRepublic'],Native,72,3.91,119.984,9,1,0.593,0.85,-5.456,0.0447,0.0678,0.0,0.271,0.344,4,OneRepublic
Sunshine,spotify:track:7qKIbKpRqsDoXG5vMK6fuT,https://open.spotify.com/track/7qKIbKpRqsDoXG5vMK6fuT,['OneRepublic'],Artificial Paradise (Deluxe),71,2.73,140.12,5,1,0.694,0.876,-4.576,0.0357,0.167,0.0,0.278,0.769,4,OneRepublic
Maps,spotify:track:4gbVRS8gloEluzf0GzDOFc,https://open.spotify.com/track/4gbVRS8gloEluzf0GzDOFc,['Maroon 5'],V,82,3.17,120.032,1,0,0.742,0.713,-5.522,0.0303,0.0205,0.0,0.059,0.879,4,Maroon 5
Memories,spotify:track:4cktbXiXOapiLBMprHFErI,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,['Maroon 5'],JORDI (Deluxe),82,3.16,91.05,11,1,0.775,0.327,-7.241,0.0557,0.841,0.0,0.0821,0.595,4,Maroon 5
This Love,spotify:track:6ECp64rv50XVz93WvxXMGF,https://open.spotify.com/track/6ECp64rv50XVz93WvxXMGF,['Maroon 5'],Songs About Jane: 10th Anniversary Edition,82,3.44,95.051,5,0,0.712,0.862,-4.612,0.0378,0.0525,0.0,0.093,0.809,4,Maroon 5
Animals,spotify:track:2bL2gyO6kBdLkNSkxXNh6x,https://open.spotify.com/track/2bL2gyO6kBdLkNSkxXNh6x,['Maroon 5'],V,79,3.85,189.868,4,0,0.279,0.742,-6.46,0.0898,0.000185,0.0,0.593,0.328,4,Maroon 5
Sugar,spotify:track:2iuZJX9X9P0GKaE93xcPjk,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk,['Maroon 5'],V,78,3.92,120.076,1,1,0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,4,Maroon 5
House of Memories,spotify:track:2DgdHcjWmO3qd50RzuBLgZ,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ,['Panic! At The Disco'],Death of a Bachelor,77,3.48,109.952,11,0,0.506,0.817,-5.051,0.0335,0.00272,0.0,0.0486,0.506,4,Panic! At The Disco
